Abd,.015,.030,.040,.060,.098
Adrenal,.015,.030,.040,.060,.098
Chest,.014,.026,.036,.052,.078
Cerebrum,.0021,.0032,.0040,.0067,.0011
Thoracic,.014,.026,.036,.052,.078
Heart,.014,.026,.036,.052,.078
Carotid,.014,.026,.036,.052,.078
CircleofWillis,.0021,.0032,.0040,.0067,.0011
Cranial,.0021,.0032,.0040,.0067,.0011
pulmonary,.014,.026,.036,.052,.078
Renal,.015,.030,.040,.060,.098
Ankle,.0008,.0008,.0008,.0008,.0008
BoneDensitometry,.015,.030,.040,.060,.098
Elbow,.0008,.0008,.0008,.0008,.0008
Femur,.0008,.0008,.0008,.0008,.0008
Foot,.0008,.0008,.0008,.0008,.0008
Lung,.014,.026,.036,.052,.078
Tempor,.0021,.0032,.0040,.0067,.0011
Neck,.0059,.0079,.011,.012,.017
Humerus,.014,.026,.036,.052,.078
Kidney,.015,.030,.040,.060,.098
Liver,.015,.030,.040,.060,.098
Mandible,.0021,.0032,.0040,.0067,.0011
Mediastinum,.014,.026,.036,.052,.078
Myelogram,.015,.030,.040,.060,.098
Nasopharynx,.0059,.0079,.011,.012,.017
Cardiac,.014,.026,.036,.052,.078
Orbit,.0021,.0032,.0040,.0067,.0011
Pancreas,.015,.030,.040,.060,.098
parathyroid,.014,.026,.036,.052,.078
Pelvis,.015,.030,.040,.060,.098
Radius,.015,.030,.040,.060,.098
Sacrum,.015,.030,.040,.060,.098
Sella,.0021,.0032,.0040,.0067,.0011
Shoulder,.0014,.026,.036,.052,.078
Sinus,.0021,.0032,.0040,.0067,.0011
Skull,.0021,.0032,.0040,.0067,.0011
Cervical,.0059,.0079,.011,.012,.017
Lumbar,.015,.030,.040,.060,.098
Tib,.0008,.0008,.0008,.0008,.0008
Uro,.0015,.030,.040,.060,.098
Wrist,.0015,.030,.040,.060,.098
IPProcedureLimited,.0015,.030,.040,.060,.098
