Body Part, Adult, 10-14, 5-9,1-4,0-1
Pelvis,.015,.030,.040,.060,.098
Chest,.014,.026,.036,.052,.078
Head,.0021,.0032,.0040,.0067,.0011
Neck,.0059,.0079,.011,.012,.017
CAP,.015,.030,.040,.060,.098
HRCT,.014,.026,.036,.052,.078
Heart,.014,.026,.036,.052,.078
TIB,.0008,.0008,.0008,.0008,.0008
Extremity,.0008,.0008,.0008,.0008,.0008
Fem,.0008,.0008,.0008,.0008,.0008
Foot,.0008,.0008,.0008,.0008,.0008
Humerus,.0008,.0008,.0008,.0008,.0008
Leg,.0008,.0008,.0008,.0008,.0008
CTA,.014,.026,.036,.052,.078
Spine,.014,.026,.036,.052,.078
AAA,.014,.026,.036,.052,.078
Kidney,.015,.030,.040,.060,.098
Score,.014,.026,.036,.052,.078
ARM,.015,.030,.040,.060,.098
Abdomen,.015,.030,.040,.060,.098
Adrenal,.015,.030,.040,.060,.098
Runoff,.0008,.0008,.0008,.0008,.0008
Liver,.015,.030,.040,.060,.098
Mandible,.0021,.0032,.0040,.0067,.0011
Mediastinum,.014,.026,.036,.052,.078
PE,.014,.026,.036,.052,.078
Radius,.015,.030,.040,.060,.098
Shoulder,.0014,.026,.036,.052,.078
Sinus,.0021,.0032,.0040,.0067,.0011
Uro,.015,.030,.040,.060,.098
default,.015,.030,.040,.060,.098
